english 	braille
wheel	⠱⠑⠑⠇
Full	⠠⠋⠥⠇⠇
Troops	⠠⠞⠗⠕⠕⠏⠎
Blue	⠠⠃⠇⠥⠑
Meaning	⠠⠍⠑⠁⠝⠊⠝⠛
Conclusion	⠠⠉⠕⠝⠉⠇⠥⠎⠊⠕⠝
surface	⠎⠥⠗⠋⠁⠉⠑
deep	⠙⠑⠑⠏
the moon	⠮⠀⠍⠕⠕⠝
of the island	⠷⠀⠮⠀⠊⠎⠇⠯
Leg	⠠⠇⠑⠛
system	⠎⠽⠌⠑⠍
Busy	⠠⠃⠥⠎⠽
Test	⠠⠞⠑⠌
Register	⠠⠗⠑⠛⠊⠌⠻
boat	⠃⠕⠁⠞
General	⠠⠛⠑⠝⠻⠁⠇
stay	⠌⠁⠽
Possible	⠠⠏⠕⠎⠎⠊⠃⠇⠑
Airplane	⠠⠁⠊⠗⠏⠇⠁⠝⠑
in place	⠊⠝⠀⠏⠇⠁⠉⠑
Dry	⠠⠙⠗⠽
I do not know	⠠⠊⠀⠙⠕⠀⠝⠕⠞⠀⠅⠝⠪
laughter	⠇⠁⠥⠣⠞⠻
A thousand	⠠⠁⠀⠹⠳⠎⠯
Before	⠠⠃⠑⠿⠑
run away	⠗⠥⠝⠀⠁⠺⠁⠽
to see	⠞⠕⠀⠎⠑⠑
game	⠛⠁⠍⠑
form	⠿⠍
Equal	⠠⠑⠟⠥⠁⠇
hot	⠓⠕⠞
Ms	⠠⠍⠎
with	⠾
Heat	⠠⠓⠑⠁⠞
Snow	⠠⠎⠝⠪
Tire	⠠⠞⠊⠗⠑
bring it	⠃⠗⠊⠝⠛⠀⠊⠞
Yes	⠠⠽⠑⠎
Distant	⠠⠙⠊⠌⠁⠝⠞
Fill up	⠠⠋⠊⠇⠇⠀⠥⠏
East	⠠⠑⠁⠌
Color	⠠⠉⠕⠇⠕⠗
Language	⠠⠇⠁⠝⠛⠥⠁⠛⠑
in the middle	⠊⠝⠀⠮⠀⠍⠊⠙⠙⠇⠑
unit	⠥⠝⠊⠞
authority	⠁⠥⠹⠕⠗⠊⠞⠽
city	⠉⠊⠞⠽
Well done	⠠⠺⠑⠇⠇⠀⠙⠕⠝⠑
sure	⠎⠥⠗⠑
to fly	⠞⠕⠀⠋⠇⠽
to fall	⠞⠕⠀⠋⠁⠇⠇
lead to	⠇⠑⠁⠙⠀⠞⠕
to cry	⠞⠕⠀⠉⠗⠽
dark	⠙⠜⠅
machine	⠍⠁⠡⠊⠝⠑
Note	⠠⠝⠕⠞⠑
to wait	⠞⠕⠀⠺⠁⠊⠞
project	⠏⠗⠕⠚⠑⠉⠞
count	⠉⠳⠝⠞
star	⠌⠜
in the box	⠊⠝⠀⠮⠀⠃⠕⠭
Noun	⠠⠝⠳⠝
in the field	⠊⠝⠀⠮⠀⠋⠊⠑⠇⠙
The rest	⠠⠮⠀⠗⠑⠌
Correct	⠠⠉⠕⠗⠗⠑⠉⠞
Done	⠠⠙⠕⠝⠑
pound	⠏⠳⠝⠙
done	⠙⠕⠝⠑
beauty	⠃⠑⠁⠥⠞⠽
driver	⠙⠗⠊⠧⠻
standing	⠌⠯⠊⠝⠛
contains	⠉⠕⠝⠞⠁⠊⠝⠎
Before	⠠⠃⠑⠿⠑
learn	⠇⠑⠜⠝
week	⠺⠑⠑⠅
final	⠋⠊⠝⠁⠇
gave	⠛⠁⠧⠑
Green	⠠⠛⠗⠑⠑⠝
oh	⠕⠓
Quick	⠠⠟⠥⠊⠉⠅
Development	⠠⠙⠑⠧⠑⠇⠕⠏⠍⠑⠝⠞
the sea	⠮⠀⠎⠑⠁
warm	⠺⠜⠍
Free	⠠⠋⠗⠑⠑
min	⠍⠊⠝
Strong	⠠⠌⠗⠕⠝⠛
Special	⠠⠎⠏⠑⠉⠊⠁⠇
in mind	⠊⠝⠀⠍⠊⠝⠙
behind	⠃⠑⠓⠊⠝⠙
Clear	⠠⠉⠇⠑⠜
Tail	⠠⠞⠁⠊⠇
Production	⠠⠏⠗⠕⠙⠥⠉⠞⠊⠕⠝
TRUE	⠞⠗⠥⠑
Space	⠠⠎⠏⠁⠉⠑
asked	⠁⠎⠅⠫
The best	⠠⠮⠀⠃⠑⠌
bell	⠃⠑⠇⠇
The best	⠠⠮⠀⠃⠑⠌
TRUE	⠞⠗⠥⠑
when	⠱⠑⠝
One hundred	⠠⠕⠝⠑⠀⠓⠥⠝⠙⠗⠫
Five	⠠⠋⠊⠧⠑
remember	⠗⠑⠍⠑⠍⠃⠻
According to	⠠⠁⠉⠉⠕⠗⠙⠊⠝⠛⠀⠞⠕
initial	⠊⠝⠊⠞⠊⠁⠇
conduct	⠉⠕⠝⠙⠥⠉⠞
to the west	⠞⠕⠀⠮⠀⠺⠑⠌
on the ground	⠕⠝⠀⠮⠀⠛⠗⠳⠝⠙
Interest	⠠⠊⠝⠞⠻⠑⠌
to reach	⠞⠕⠀⠗⠑⠁⠡
faster	⠋⠁⠌⠻
verb	⠧⠻⠃
sing	⠎⠊⠝⠛
to hear	⠞⠕⠀⠓⠑⠜
Six	⠠⠎⠊⠭
Schedule	⠠⠎⠡⠫⠥⠇⠑
Travel	⠠⠞⠗⠁⠧⠑⠇
less	⠇⠑⠎⠎
in the morning	⠊⠝⠀⠮⠀⠍⠕⠗⠝⠊⠝⠛
Ten	⠠⠞⠑⠝
Simple	⠠⠎⠊⠍⠏⠇⠑
Many	⠠⠍⠁⠝⠽
Life	⠠⠇⠊⠋⠑
towards	⠞⠪⠜⠙⠎
War	⠠⠺⠜
to put	⠞⠕⠀⠏⠥⠞
against	⠁⠛⠁⠊⠝⠌
system	⠎⠽⠌⠑⠍
Slowly	⠠⠎⠇⠪⠇⠽
Center	⠠⠉⠑⠝⠞⠻
love	⠇⠕⠧⠑
person	⠏⠻⠎⠕⠝
Money	⠠⠍⠕⠝⠑⠽
Service	⠠⠎⠻⠧⠊⠉⠑
appears	⠁⠏⠏⠑⠜⠎
Road	⠠⠗⠕⠁⠙
map	⠍⠁⠏
the rain	⠮⠀⠗⠁⠊⠝
reign	⠗⠑⠊⠛⠝
reign	⠗⠑⠊⠛⠝
to pull	⠞⠕⠀⠏⠥⠇⠇
Cold	⠠⠉⠕⠇⠙
Notice	⠠⠝⠕⠞⠊⠉⠑
the voice	⠮⠀⠧⠕⠊⠉⠑
Energy	⠠⠑⠝⠻⠛⠽
hunting	⠓⠥⠝⠞⠊⠝⠛
Possible	⠠⠏⠕⠎⠎⠊⠃⠇⠑
in bed	⠊⠝⠀⠃⠫
brother	⠃⠗⠕⠮⠗
Egg	⠠⠑⠛⠛
riding	⠗⠊⠙⠊⠝⠛
Go	⠠⠛⠕
hope	⠓⠕⠏⠑
Maybe	⠠⠍⠁⠽⠃⠑
to take	⠞⠕⠀⠞⠁⠅⠑
suddenly	⠎⠥⠙⠙⠑⠝⠇⠽
count	⠉⠳⠝⠞
Square	⠠⠎⠟⠥⠜⠑
The reason	⠠⠮⠀⠗⠑⠁⠎⠕⠝
length	⠇⠑⠝⠛⠹
representation	⠗⠑⠏⠗⠑⠎⠑⠝⠞⠁⠞⠊⠕⠝
Art	⠠⠜⠞
Meaning	⠠⠍⠑⠁⠝⠊⠝⠛
area	⠜⠑⠁
Size	⠠⠎⠊⠵⠑
varies	⠧⠜⠊⠑⠎
settle down	⠎⠑⠞⠞⠇⠑⠀⠙⠪⠝
to talk	⠞⠕⠀⠞⠁⠇⠅
Weight	⠠⠺⠑⠊⠣⠞
General	⠠⠛⠑⠝⠻⠁⠇
Snow	⠠⠎⠝⠪
matter	⠍⠁⠞⠞⠻
of the circle	⠷⠀⠮⠀⠉⠊⠗⠉⠇⠑
couple	⠉⠳⠏⠇⠑
Adds	⠠⠁⠙⠙⠎
split	⠎⠏⠇⠊⠞
in motion	⠊⠝⠀⠍⠕⠞⠊⠕⠝
felt	⠋⠑⠇⠞
Great	⠠⠛⠗⠑⠁⠞
ball	⠃⠁⠇⠇
So far	⠠⠎⠕⠀⠋⠜
wave	⠺⠁⠧⠑
give up	⠛⠊⠧⠑⠀⠥⠏
heart	⠓⠑⠜⠞
I am	⠠⠊⠀⠁⠍
Current	⠠⠉⠥⠗⠗⠑⠝⠞
Heavy	⠠⠓⠑⠁⠧⠽
Dance	⠠⠙⠁⠝⠉⠑
machine	⠍⠁⠡⠊⠝⠑
status	⠌⠁⠞⠥⠎
arm	⠜⠍
Broad	⠠⠃⠗⠕⠁⠙
took off	⠞⠕⠕⠅⠀⠷⠋
Meaning	⠠⠍⠑⠁⠝⠊⠝⠛
area	⠜⠑⠁
In the forest	⠠⠊⠝⠀⠮⠀⠿⠑⠌
to sit	⠞⠕⠀⠎⠊⠞
race	⠗⠁⠉⠑
Window	⠠⠺⠊⠝⠙⠪
in the store	⠊⠝⠀⠮⠀⠌⠕⠗⠑
Summer	⠠⠎⠥⠍⠍⠻
Train	⠠⠞⠗⠁⠊⠝
sleep	⠎⠇⠑⠑⠏
to prove	⠞⠕⠀⠏⠗⠕⠧⠑
separate	⠎⠑⠏⠜⠁⠞⠑
morning	⠍⠕⠗⠝⠊⠝⠛
Exercise	⠠⠑⠭⠻⠉⠊⠎⠑
the wall	⠮⠀⠺⠁⠇⠇
p	⠏
load	⠇⠕⠁⠙
like	⠇⠊⠅⠑
in the sky	⠊⠝⠀⠮⠀⠎⠅⠽
group	⠛⠗⠳⠏
happiness	⠓⠁⠏⠏⠊⠝⠑⠎⠎
In winter	⠠⠊⠝⠀⠺⠊⠝⠞⠻
Sat	⠠⠎⠁⠞
Written	⠠⠺⠗⠊⠞⠞⠑⠝
show	⠩⠪
Tool	⠠⠞⠕⠕⠇
keep	⠅⠑⠑⠏
Glass	⠠⠛⠇⠁⠎⠎
Grass	⠠⠛⠗⠁⠎⠎
the cow	⠮⠀⠉⠪
Work	⠠⠺⠕⠗⠅
on the edge	⠕⠝⠀⠮⠀⠫⠛⠑
Identity	⠠⠊⠙⠑⠝⠞⠊⠞⠽
arrival	⠜⠗⠊⠧⠁⠇
Past	⠠⠏⠁⠌
Soft	⠠⠎⠷⠞
funny	⠋⠥⠝⠝⠽
Bright	⠠⠃⠗⠊⠣⠞
Gas	⠠⠛⠁⠎
Weather	⠠⠺⠑⠁⠮⠗
month	⠍⠕⠝⠹
million	⠍⠊⠇⠇⠊⠕⠝
bear	⠃⠑⠜
coating	⠉⠕⠁⠞⠊⠝⠛
happily	⠓⠁⠏⠏⠊⠇⠽
hope	⠓⠕⠏⠑
flower	⠋⠇⠪⠻
dress	⠙⠗⠑⠎⠎
Strange	⠠⠌⠗⠁⠝⠛⠑
go to	⠛⠕⠀⠞⠕
Trade	⠠⠞⠗⠁⠙⠑
Melody	⠠⠍⠑⠇⠕⠙⠽
travel	⠞⠗⠁⠧⠑⠇
in office	⠊⠝⠀⠷⠋⠊⠉⠑
to get	⠞⠕⠀⠛⠑⠞
in order	⠊⠝⠀⠕⠗⠙⠻
Gate	⠠⠛⠁⠞⠑
Accurate	⠠⠁⠉⠉⠥⠗⠁⠞⠑
Symbol	⠠⠎⠽⠍⠃⠕⠇
to die	⠞⠕⠀⠙⠊⠑
at least	⠁⠞⠀⠇⠑⠁⠌
problem	⠏⠗⠕⠃⠇⠑⠍
knife	⠅⠝⠊⠋⠑
Besides,	⠠⠃⠑⠎⠊⠙⠑⠎⠂
Written by	⠠⠺⠗⠊⠞⠞⠑⠝⠀⠃⠽
seed	⠎⠑⠫
Tone	⠠⠞⠕⠝⠑
to join	⠞⠕⠀⠚⠕⠊⠝
Recommends	⠠⠗⠑⠉⠕⠍⠍⠑⠝⠙⠎
Clean	⠠⠉⠇⠑⠁⠝
interval	⠊⠝⠞⠻⠧⠁⠇
girl	⠛⠊⠗⠇
in the yard	⠊⠝⠀⠮⠀⠽⠜⠙
rising	⠗⠊⠎⠊⠝⠛
bad	⠃⠁⠙
as a blow	⠁⠎⠀⠁⠀⠃⠇⠪
Oil	⠠⠕⠊⠇
Blood	⠠⠃⠇⠕⠕⠙
to touch	⠞⠕⠀⠞⠳⠡
grew up	⠛⠗⠑⠺⠀⠥⠏
percent	⠏⠻⠉⠑⠝⠞
mixed up	⠍⠊⠭⠫⠀⠥⠏
Team	⠠⠞⠑⠁⠍
Wire	⠠⠺⠊⠗⠑
cost	⠉⠕⠌
lost	⠇⠕⠌
brown	⠃⠗⠪⠝
to wear	⠞⠕⠀⠺⠑⠜
in the garden	⠊⠝⠀⠮⠀⠛⠜⠙⠑⠝
Par	⠠⠏⠜
sent	⠎⠑⠝⠞
selection	⠎⠑⠇⠑⠉⠞⠊⠕⠝
fell	⠋⠑⠇⠇
applicable	⠁⠏⠏⠇⠊⠉⠁⠃⠇⠑
flowing	⠋⠇⠪⠊⠝⠛
reasonable	⠗⠑⠁⠎⠕⠝⠁⠃⠇⠑
Bank	⠠⠃⠁⠝⠅
to collect	⠞⠕⠀⠉⠕⠇⠇⠑⠉⠞
save	⠎⠁⠧⠑
control	⠉⠕⠝⠞⠗⠕⠇
Decimal	⠠⠙⠑⠉⠊⠍⠁⠇
the ear	⠮⠀⠑⠜
Other	⠠⠕⠮⠗
Very much	⠠⠧⠻⠽⠀⠍⠥⠡
exploded	⠑⠭⠏⠇⠕⠙⠫
case	⠉⠁⠎⠑
Medium	⠠⠍⠫⠊⠥⠍
murder	⠍⠥⠗⠙⠻
son	⠎⠕⠝
in the lake	⠊⠝⠀⠮⠀⠇⠁⠅⠑
moment	⠍⠕⠍⠑⠝⠞
on the scale	⠕⠝⠀⠮⠀⠎⠉⠁⠇⠑
Loud	⠠⠇⠳⠙
spring	⠎⠏⠗⠊⠝⠛
Observe	⠠⠕⠃⠎⠻⠧⠑
baby	⠃⠁⠃⠽
Straight up	⠠⠌⠗⠁⠊⠣⠞⠀⠥⠏
Consonant	⠠⠉⠕⠝⠎⠕⠝⠁⠝⠞
National	⠠⠝⠁⠞⠊⠕⠝⠁⠇
In the dictionary	⠠⠊⠝⠀⠮⠀⠙⠊⠉⠞⠊⠕⠝⠜⠽
Milk	⠠⠍⠊⠇⠅
Speed	⠠⠎⠏⠑⠫
method	⠍⠑⠹⠕⠙
organ	⠕⠗⠛⠁⠝
to pay	⠞⠕⠀⠏⠁⠽
age	⠁⠛⠑
In the section	⠠⠊⠝⠀⠮⠀⠎⠑⠉⠞⠊⠕⠝
Clothing	⠠⠉⠇⠕⠹⠊⠝⠛
the cloud	⠮⠀⠉⠇⠳⠙
Surprise	⠠⠎⠥⠗⠏⠗⠊⠎⠑
peaceful	⠏⠑⠁⠉⠑⠋⠥⠇
Stone	⠠⠌⠕⠝⠑
Small	⠠⠎⠍⠁⠇⠇
Climb and climb slowly	⠠⠉⠇⠊⠍⠃⠀⠯⠀⠉⠇⠊⠍⠃⠀⠎⠇⠪⠇⠽
Cold	⠠⠉⠕⠇⠙
design	⠙⠑⠎⠊⠛⠝
poor	⠏⠕⠕⠗
A lot	⠠⠁⠀⠇⠕⠞
Test	⠠⠞⠑⠌
below	⠃⠑⠇⠪
Important	⠠⠊⠍⠏⠕⠗⠞⠁⠝⠞
Iron	⠠⠊⠗⠕⠝
Single	⠠⠎⠊⠝⠛⠇⠑
Stick	⠠⠌⠊⠉⠅
Flat	⠠⠋⠇⠁⠞
Twenty	⠠⠞⠺⠑⠝⠞⠽
skin	⠎⠅⠊⠝
laughter	⠇⠁⠥⠣⠞⠻
lap	⠇⠁⠏
hole	⠓⠕⠇⠑
to jump	⠞⠕⠀⠚⠥⠍⠏
baby	⠃⠁⠃⠽
Eight	⠠⠑⠊⠣⠞
Village	⠠⠧⠊⠇⠇⠁⠛⠑
to meet	⠞⠕⠀⠍⠑⠑⠞
root	⠗⠕⠕⠞
buy	⠃⠥⠽
raise	⠗⠁⠊⠎⠑
to solve	⠞⠕⠀⠎⠕⠇⠧⠑
Metal	⠠⠍⠑⠞⠁⠇
that	⠹⠁⠞
Abundance	⠠⠁⠃⠥⠝⠙⠁⠝⠉⠑
Seven	⠠⠎⠑⠧⠑⠝
Paragraph	⠠⠏⠜⠁⠛⠗⠁⠏⠓
Third	⠠⠹⠊⠗⠙
Shall we go?	⠠⠩⠁⠇⠇⠀⠺⠑⠀⠛⠕⠦
me too	⠍⠑⠀⠞⠕⠕
the hair	⠮⠀⠓⠁⠊⠗
to describe	⠞⠕⠀⠙⠑⠎⠉⠗⠊⠃⠑
the cook	⠮⠀⠉⠕⠕⠅
on the ground	⠕⠝⠀⠮⠀⠛⠗⠳⠝⠙
One	⠠⠕⠝⠑
Because of this	⠠⠃⠑⠉⠁⠥⠎⠑⠀⠷⠀⠹⠊⠎
to burn	⠞⠕⠀⠃⠥⠗⠝
the mountain	⠮⠀⠍⠳⠝⠞⠁⠊⠝
safe	⠎⠁⠋⠑
Cat	⠠⠉⠁⠞
of the century	⠷⠀⠮⠀⠉⠑⠝⠞⠥⠗⠽
consider	⠉⠕⠝⠎⠊⠙⠻
Type	⠠⠞⠽⠏⠑
Law	⠠⠇⠁⠺
Bit	⠠⠃⠊⠞
On the beach	⠠⠕⠝⠀⠮⠀⠃⠑⠁⠡
Copy	⠠⠉⠕⠏⠽
phrase	⠏⠓⠗⠁⠎⠑
Quietly	⠠⠟⠥⠊⠑⠞⠇⠽
height	⠓⠑⠊⠣⠞
Sand	⠠⠎⠯
Soil	⠠⠎⠕⠊⠇
Roll	⠠⠗⠕⠇⠇
temperature	⠞⠑⠍⠏⠻⠁⠞⠥⠗⠑
finger	⠋⠊⠝⠛⠻
profession	⠏⠗⠷⠑⠎⠎⠊⠕⠝
Respect	⠠⠗⠑⠎⠏⠑⠉⠞
fight	⠋⠊⠣⠞
lie	⠇⠊⠑
to beat	⠞⠕⠀⠃⠑⠁⠞
stimulate	⠌⠊⠍⠥⠇⠁⠞⠑
Nature	⠠⠝⠁⠞⠥⠗⠑
vision	⠧⠊⠎⠊⠕⠝
feeling	⠋⠑⠑⠇⠊⠝⠛
Capital	⠠⠉⠁⠏⠊⠞⠁⠇
No	⠠⠝⠕
In the chair	⠠⠊⠝⠀⠮⠀⠡⠁⠊⠗
danger	⠙⠁⠝⠛⠻
fruit	⠋⠗⠥⠊⠞
Rich	⠠⠗⠊⠡
Thick	⠠⠹⠊⠉⠅
Soldier	⠠⠎⠕⠇⠙⠊⠻
process	⠏⠗⠕⠉⠑⠎⠎
to act	⠞⠕⠀⠁⠉⠞
In practice	⠠⠊⠝⠀⠏⠗⠁⠉⠞⠊⠉⠑
separate	⠎⠑⠏⠜⠁⠞⠑
hard	⠓⠜⠙
Doctor	⠠⠙⠕⠉⠞⠕⠗
please	⠏⠇⠑⠁⠎⠑
save	⠎⠁⠧⠑
Noon	⠠⠝⠕⠕⠝
Crop	⠠⠉⠗⠕⠏
Modern	⠠⠍⠕⠙⠻⠝
organ	⠕⠗⠛⠁⠝
success	⠎⠥⠉⠉⠑⠎⠎
Student	⠠⠌⠥⠙⠑⠝⠞
in the corner	⠊⠝⠀⠮⠀⠉⠕⠗⠝⠻
Party	⠠⠏⠜⠞⠽
supply	⠎⠥⠏⠏⠇⠽
Its	⠠⠊⠞⠎
Finding out	⠠⠋⠊⠝⠙⠊⠝⠛⠀⠳⠞
the ring	⠮⠀⠗⠊⠝⠛
character	⠡⠜⠁⠉⠞⠻
insect	⠊⠝⠎⠑⠉⠞
caught	⠉⠁⠥⠣⠞
Period	⠠⠏⠻⠊⠕⠙
indicates	⠊⠝⠙⠊⠉⠁⠞⠑⠎
Radio	⠠⠗⠁⠙⠊⠕
spoke	⠎⠏⠕⠅⠑
of the atom	⠷⠀⠮⠀⠁⠞⠕⠍
Human	⠠⠓⠥⠍⠁⠝
In history	⠠⠊⠝⠀⠓⠊⠌⠕⠗⠽
effect	⠑⠋⠋⠑⠉⠞
Electric	⠠⠑⠇⠑⠉⠞⠗⠊⠉
expect	⠑⠭⠏⠑⠉⠞
Bone	⠠⠃⠕⠝⠑
Train	⠠⠞⠗⠁⠊⠝
Imagination	⠠⠊⠍⠁⠛⠊⠝⠁⠞⠊⠕⠝
how	⠓⠪
I agree	⠠⠊⠀⠁⠛⠗⠑⠑
Thus	⠠⠹⠥⠎
Soft	⠠⠎⠷⠞
girl	⠛⠊⠗⠇
Captain	⠠⠉⠁⠏⠞⠁⠊⠝
to guess	⠞⠕⠀⠛⠥⠑⠎⠎
required	⠗⠑⠟⠥⠊⠗⠫
Sharp	⠠⠩⠜⠏
right wing	⠗⠊⠣⠞⠀⠺⠊⠝⠛
to create	⠞⠕⠀⠉⠗⠑⠁⠞⠑
Neighbor	⠠⠝⠑⠊⠣⠃⠕⠗
Wash	⠠⠺⠁⠩
Batting	⠠⠃⠁⠞⠞⠊⠝⠛
On the contrary	⠠⠕⠝⠀⠮⠀⠉⠕⠝⠞⠗⠜⠽
In the meeting	⠠⠊⠝⠀⠮⠀⠍⠑⠑⠞⠊⠝⠛
Corn	⠠⠉⠕⠗⠝
Compare	⠠⠉⠕⠍⠏⠜⠑
Poetry	⠠⠏⠕⠑⠞⠗⠽
String	⠠⠌⠗⠊⠝⠛
bell	⠃⠑⠇⠇
depends on	⠙⠑⠏⠑⠝⠙⠎⠀⠕⠝
Meat	⠠⠍⠑⠁⠞
Wiper	⠠⠺⠊⠏⠻
pipe	⠏⠊⠏⠑
popular	⠏⠕⠏⠥⠇⠜
dollar	⠙⠕⠇⠇⠜
Stream	⠠⠌⠗⠑⠁⠍
fear	⠋⠑⠜
vision	⠧⠊⠎⠊⠕⠝
thin	⠹⠊⠝
Triangular	⠠⠞⠗⠊⠁⠝⠛⠥⠇⠜
of the planet	⠷⠀⠮⠀⠏⠇⠁⠝⠑⠞
Urgent	⠠⠥⠗⠛⠑⠝⠞
Chief	⠠⠡⠊⠑⠋
Colony	⠠⠉⠕⠇⠕⠝⠽
Clockwork	⠠⠉⠇⠕⠉⠅⠺⠕⠗⠅
mine	⠍⠊⠝⠑
Tie	⠠⠞⠊⠑
to enter	⠞⠕⠀⠑⠝⠞⠻
Important	⠠⠊⠍⠏⠕⠗⠞⠁⠝⠞
New	⠠⠝⠑⠺
search	⠎⠑⠜⠡
send	⠎⠑⠝⠙
Yellow	⠠⠽⠑⠇⠇⠪
Gun	⠠⠛⠥⠝
